rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
1,I'm Ready,Jaden,[],Marvel’s Spider-Man: Miles Morales (Original Video Game Soundtrack),2020-11-10,2020,"[""['pop rap'"",""'rap']""]","[""und""]",,,,Marvel’s Spider-Man: Miles Morales,,,spotify_popularity,70.0,score_0_100,,,,24.5,4kTliHBy7w2SOMtm8qMmOW,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Marvel’s Spider-Man: Miles Morales"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":1,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
2,Leave Her Johnny,Sean Dagher,[],Assassin's Creed 4: Black Flag (The Complete Edition) [Original Game Soundtrack],2013-12-02,2013,"[""['shanty']""]","[""und""]",,,,Assassin's Creed 4: Black Flag,,,spotify_popularity,66.0,score_0_100,,,,23.099999999999998,4bjHuqP6ZPohjtijdrn94G,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Assassin's Creed 4: Black Flag"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":2,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
3,At Doom's Gate,Mick Gordon,[],Doom (Original Game Soundtrack),2016-09-28,2016,"[""electronic"",""['electronic djent'"",""'video game music']""]","[""und""]",,,,Doom,,,spotify_popularity,64.0,score_0_100,,,,22.4,2UKgx2oba7CltHLACr3xdT,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Doom"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":3,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
4,Spaces Inbetween.,Omori,[],"Omori (Original Game Soundtrack), Pt.1",2020-12-25,2020,"[""['video game music']""]","[""und""]",,,,Omori,,,spotify_popularity,60.0,score_0_100,,,,21.0,54shhL9vif2iwUXg0lNpQX,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Omori"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":4,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
5,Lovers' Oath,Yu-Peng Chen,[],Genshin Impact - The Shimmering Voyage (Original Game Soundtrack),2021-07-19,2021,"[""['japanese vgm']""]","[""und""]",,,,Genshin Impact,,,spotify_popularity,58.0,score_0_100,,,,20.299999999999997,0KOCCyZ2P4rBaPBtnS09i9,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Genshin Impact"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":5,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
6,Rude Buster,Toby Fox,[],DELTARUNE Chapter 1 (Original Game Soundtrack),2018-11-01,2018,"[""['indie game soundtrack'"",""'otacore'"",""'pixel']""]","[""und""]",,,,DELTARUNE Chapter 1,,,spotify_popularity,57.0,score_0_100,,,,19.95,322mgWaD4DetiHmoDVlwWc,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""DELTARUNE Chapter 1"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":6,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
7,Kyne's Peace,Jeremy Soule,[],The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,2013,"[""['orchestral soundtrack'"",""'scorecore'"",""'video game music']""]","[""und""]",,,,The Elder Scrolls V: Skyrim,,,spotify_popularity,57.0,score_0_100,,,,19.95,6O9hBwcZKrzCVVhEeoieko,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Elder Scrolls V: Skyrim"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":7,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
8,By Your Side.,Omori,[],"Omori (Original Game Soundtrack), Pt.1",2020-12-25,2020,"[""['video game music']""]","[""und""]",,,,Omori,,,spotify_popularity,57.0,score_0_100,,,,19.95,06r2yQOiQYB1Ra4KYEdskL,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Omori"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":157,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
9,Harvest Dawn,Jeremy Soule,[],The Elder Scrolls IV: Oblivion: Original Game Soundtrack,2006-03-20,2006,"[""['orchestral soundtrack'"",""'scorecore'"",""'video game music']""]","[""und""]",,,,The Elder Scrolls IV: Oblivion,,,spotify_popularity,56.0,score_0_100,,,,19.599999999999998,1NhDv99nTtRm37rZpoH7Ix,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Elder Scrolls IV: Oblivion"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":8,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
10,Never Fade Away (SAMURAI Cover),P.T. Adamczyk,[],Cyberpunk 2077 - Original Score,2020-12-11,2020,"[""['video game music']""]","[""und""]",,,,Cyberpunk 2077,,,spotify_popularity,56.0,score_0_100,,,,19.599999999999998,6pV1lc8lIc8ARNB6KsZukt,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Cyberpunk 2077"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":300,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
11,Komarovo (DVRST Phonk Remix),DVRST,[],Atomic Heart (Original Game Soundtrack) Vol.1,2023-02-21,2023,"[""['chill phonk'"",""'drift phonk']""]","[""und""]",,,,Atomic Heart,,,spotify_popularity,55.0,score_0_100,,,,19.25,1yqaea9PLO8rttUlcNTlcB,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Atomic Heart"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":9,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
12,Fight Club,Lorne Balfe,[],Assassin's Creed 3 (Original Game Soundtrack),2012-10-30,2012,"[""british"",""['british soundtrack'"",""'epicore'"",""'orchestral soundtrack'"",""'soundtrack'"",""'video game music']""]","[""und""]",,,,Assassin's Creed 3,,,spotify_popularity,54.0,score_0_100,,,,18.9,2Mtd0VvFbC2mX44EvGq1cq,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Assassin's Creed 3"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":10,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
13,Crazy Dave (Intro Theme),Laura Shigihara,[],Plants Vs. Zombies (Original Video Game Soundtrack),2010-11-22,2010,"[""['video game music']""]","[""und""]",,,,Plants Vs. Zombies,,,spotify_popularity,54.0,score_0_100,,,,18.9,2tQ7nWlY10hylhnoVH9hzG,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Plants Vs. Zombies"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":11,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
14,Cloud Country,ConcernedApe,[],Stardew Valley (Original Game Soundtrack),2016-09-19,2016,"[""['indie game soundtrack']""]","[""und""]",,,,Stardew Valley,,,spotify_popularity,53.0,score_0_100,,,,18.549999999999997,0Mmtro18AX4ONE1I3mgNEh,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":12,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
15,Fallout 4 Main Theme,Inon Zur,[],Fallout 4 (Original Game Soundtrack),2015-11-06,2015,"[""['epicore'"",""'orchestral soundtrack'"",""'video game music']""]","[""und""]",,,,Fallout 4,,,spotify_popularity,53.0,score_0_100,,,,18.549999999999997,11wKe8bZjcb3npZX6aAcXi,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Fallout 4"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":13,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
16,The Vagabond,Marcin Przybyłowicz,[],The Witcher 3: Wild Hunt (Original Game Soundtrack),2015-08-26,2015,"[""['orchestral soundtrack'"",""'video game music']""]","[""und""]",,,,The Witcher 3: Wild Hunt,,,spotify_popularity,51.0,score_0_100,,,,17.849999999999998,0Lc3coQTcMMJiiEFi7BG2z,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Witcher 3: Wild Hunt"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":14,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
17,Lost at a Sleepover,Omori,[],"Omori (Original Game Soundtrack), Pt.1",2020-12-25,2020,"[""['video game music']""]","[""und""]",,,,Omori,,,spotify_popularity,51.0,score_0_100,,,,17.849999999999998,3vMyi4zZKU4z25OPAeK9rX,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Omori"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":158,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
18,White Space,Omori,[],"Omori (Original Game Soundtrack), Pt.1",2020-12-25,2020,"[""['video game music']""]","[""und""]",,,,Omori,,,spotify_popularity,51.0,score_0_100,,,,17.849999999999998,7Max3EiSwBFypn3MAnwhkX,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Omori"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":159,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
19,Earth,Jesper Kyd,[],Assassin's Creed 2 (Original Game Soundtrack),2009-11-16,2009,"[""['epicore'"",""'nordic soundtrack'"",""'orchestral soundtrack'"",""'video game music']""]","[""und""]",,,,Assassin's Creed 2,,,spotify_popularity,50.0,score_0_100,,,,17.5,7L2YlrpcKhqeYZQDDD2AYR,,,https://www.kaggle.com/datasets/yamaerenay/spotify-dataset-19212020-600k-tracks,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Assassin's Creed 2"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":15,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
20,...Steel For Humans,Percival Schuttenbach,[],The Witcher 3: Wild Hunt (Original Game Soundtrack),2015-08-26,2015,"[""['polish folk metal'"",""'polish metal'"",""'slavic folk metal'"",""'slavic metal']""]","[""und""]",,,,The Witcher 3: Wild Hunt,,,spotify_popularity,50.0,score_0_100,,,,17.5,1asBfrlvpH0Brn6xcD7yms,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""The Witcher 3: Wild Hunt"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":160,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
21,The First Hunter,SIE Sound Team,[],Bloodborne Original Soundtrack,2015-04-22,2015,"[""['japanese vgm'"",""'sound team'"",""'video game music']""]","[""und""]",,,,Bloodborne,,,spotify_popularity,50.0,score_0_100,,,,17.5,33eoaqosKfgXYHd6HyYmPh,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Bloodborne"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":301,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""genre_album""}"
22,Power Core,Power Glove,[],Far Cry 3: Blood Dragon (Original Game Soundtrack),,,"[""club""]","[""und""]",,,,Far Cry 3: Blood Dragon,,,spotify_popularity,49.0,score_0_100,,,,17.15,1JcwHjETNNbUH0yfrc9w9n,,,https://github.com/szewczakjj/Almost-Million-Songs-Dataset-2025-16-Features-,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Far Cry 3: Blood Dragon"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":16,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
23,Waltzing in the Rain,Vincent Diamante,[],Sky (Original Game Soundtrack) Vol. 1,2020-07-31,2020,[],"[""und""]",,,,Sky,,,spotify_popularity,49.0,score_0_100,,,,17.15,3lv1OMbvmODFykWOboFSKt,,,https://doi.org/10.5281/zenodo.11453410,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Sky"",""selection"":""highest-popularity source-backed recording for inferred game"",""catalog_fallback_rank"":17,""wikidata_available"":false,""fallback_stage"":""one_per_game"",""game_association_kind"":""official_soundtrack_album""}"
24,Spring (Wild Horseradish Jam),ConcernedApe,[],Stardew Valley (Original Game Soundtrack),2016-09-19,2016,"[""['indie game soundtrack']""]","[""und""]",,,,Stardew Valley,,,spotify_popularity,49.0,score_0_100,,,,17.15,6gp9NlnfJX6c2xkf2cIzq8,,,https://www.kaggle.com/datasets/anantsinghal786/almost-million-songs-dataset-2025-16-features,2026-07-26,Category membership comes from source genre/metadata tags; popularity evidence is preserved.,"{""culture_category"":""video_game_music"",""video_game"":""Stardew Valley"",""selection"":""additional high-popularity game-associated recording"",""catalog_fallback_rank"":161,""wikidata_available"":false,""fallback_stage"":""additional_tracks"",""per_game_track_cap"":8,""game_association_kind"":""official_soundtrack_album""}"
