rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
240001,アノ空交響曲・改,H.K.G.日陰のろうそく,"[""初音ミク""]",,2024-12-01T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=QgB02YWNXv4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":707463,""vocadb_url"":""https://vocadb.net/S/707463"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""QgB02YWNXv4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""H.K.G.日陰のろうそく"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""QgB02YWNXv4"",""views"":421,""author"":""H.K.G.日陰のろうそく"",""url"":""https://youtu.be/QgB02YWNXv4""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""H.K.G.日陰のろうそく""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""H.K.G.日陰のろうそく"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":123645},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""いきはじ"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":149838}]}"
240002,まほうのかがみ,雪名けい,"[""音街ウナ (Unknown)""]",,2022-04-22T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=rQY5D6Clidc,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":401249,""vocadb_url"":""https://vocadb.net/S/401249"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""rQY5D6Clidc"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""雪名けい"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""rQY5D6Clidc"",""views"":421,""author"":""雪名けい"",""url"":""https://youtu.be/rQY5D6Clidc""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""雪名けい""],""voice_synth_vocalists"":[""音街ウナ (Unknown)""],""voice_synth_types"":{""音街ウナ (Unknown)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""雪名けい"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":86810},{""name"":""音街ウナ (Unknown)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":49701},{""name"":""俺の妹"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
240003,Cloudy Days,Rave,"[""渡瀬マキ"",""Crusher""]",,2010-11-03T00:00:00Z,2010,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=VlpLmubH1fk,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":104815,""vocadb_url"":""https://vocadb.net/S/104815"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":3,""youtube_video_id"":""VlpLmubH1fk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""アマガク"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""VlpLmubH1fk"",""views"":421,""author"":""アマガク"",""url"":""https://youtu.be/VlpLmubH1fk""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Rave"",""Crusher""],""voice_synth_vocalists"":[""渡瀬マキ""],""voice_synth_types"":{""渡瀬マキ"":""utau""},""all_vocadb_artist_credits"":[{""name"":""渡瀬マキ"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":17246},{""name"":""Rave"",""artist_type"":""Producer"",""roles"":[""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":19004},{""name"":""Crusher"",""artist_type"":""Producer"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":13552}]}"
240004,根性食堂冬コミ出ますのうた,みかみ佳志,"[""初音ミク""]",,2007-11-06T00:00:00Z,2007,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=asTkrbysR-8,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":596649,""vocadb_url"":""https://vocadb.net/S/596649"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":2,""youtube_video_id"":""asTkrbysR-8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""みかみ佳志"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""asTkrbysR-8"",""views"":421,""author"":""みかみ佳志"",""url"":""https://youtu.be/asTkrbysR-8""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""みかみ佳志""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""みかみ佳志"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":134797}]}"
240005,融相(Short ver.),幸木あう,"[""小春六花 AI""]",,2023-12-15T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=uePZ-32lOX0,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":563324,""vocadb_url"":""https://vocadb.net/S/563324"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""uePZ-32lOX0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""幸木あう"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""uePZ-32lOX0"",""views"":421,""author"":""幸木あう"",""url"":""https://youtu.be/uePZ-32lOX0""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""幸木あう""],""voice_synth_vocalists"":[""小春六花 AI""],""voice_synth_types"":{""小春六花 AI"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""幸木あう"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":95513},{""name"":""小春六花 AI"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":85847},{""name"":""とまり"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":55067}]}"
240006,日記,haruka,"[""IA""]",,2021-02-27T00:00:00Z,2021,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=4MWwunDvmxk,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":669690,""vocadb_url"":""https://vocadb.net/S/669690"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""4MWwunDvmxk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""悠"",""official_youtube_pv_count"":2,""official_youtube_resolved_pv_count"":2,""official_youtube_total_views"":439,""official_youtube_pvs"":[{""video_id"":""4MWwunDvmxk"",""views"":421,""author"":""悠"",""url"":""https://youtu.be/4MWwunDvmxk""},{""video_id"":""UF6vvAOqods"",""views"":18,""author"":""haruka - Topic"",""url"":""https://youtu.be/UF6vvAOqods""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""haruka""],""voice_synth_vocalists"":[""IA""],""voice_synth_types"":{""IA"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""haruka"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":86373},{""name"":""IA"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":504}]}"
240007,１分間で伝えたいこと,やまふぁあ,"[""GUMI""]",,2021-10-28T00:00:00Z,2021,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=u8gwdQ-NpTk,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":364524,""vocadb_url"":""https://vocadb.net/S/364524"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""u8gwdQ-NpTk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""やまふぁ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""u8gwdQ-NpTk"",""views"":421,""author"":""やまふぁ"",""url"":""https://youtu.be/u8gwdQ-NpTk""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""やまふぁあ""],""voice_synth_vocalists"":[""GUMI""],""voice_synth_types"":{""GUMI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""やまふぁあ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":72379},{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""Haonn"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":77984}]}"
240008,mute,ぽき,"[""初音ミク""]",,2014-03-01T00:00:00Z,2014,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=baScPFUkY4U,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":50235,""vocadb_url"":""https://vocadb.net/S/50235"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""baScPFUkY4U"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ぽき℃"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""baScPFUkY4U"",""views"":421,""author"":""ぽき℃"",""url"":""https://youtu.be/baScPFUkY4U""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ぽき""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""ぽき"",""artist_type"":""Producer"",""roles"":[""animator"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":1350},{""name"":""堺あさみ"",""artist_type"":""Illustrator"",""roles"":[""animator"",""illustrator""],""is_support"":false,""vocadb_artist_id"":9933}]}"
240009,星空シグナル,ALT,"[""初音ミク""]",,2012-01-14T00:00:00Z,2012,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=pUjBtgAl4O0,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":118607,""vocadb_url"":""https://vocadb.net/S/118607"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""pUjBtgAl4O0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Official music ALT"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""pUjBtgAl4O0"",""views"":421,""author"":""Official music ALT"",""url"":""https://youtu.be/pUjBtgAl4O0""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ALT""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ALT"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1209},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
240010,モノローグ,明石ゆあ,"[""結月ゆかり""]",,2019-02-16T00:00:00Z,2019,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=JDkJYsxgeCQ,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":236957,""vocadb_url"":""https://vocadb.net/S/236957"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""JDkJYsxgeCQ"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""明石ゆあ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""JDkJYsxgeCQ"",""views"":421,""author"":""明石ゆあ"",""url"":""https://youtu.be/JDkJYsxgeCQ""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""明石ゆあ""],""voice_synth_vocalists"":[""結月ゆかり""],""voice_synth_types"":{""結月ゆかり"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""結月ゆかり"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":623},{""name"":""明石ゆあ"",""artist_type"":""Producer"",""roles"":[""animator"",""composer"",""lyricist""],""is_support"":false,""vocadb_artist_id"":72866},{""name"":""結城みあ"",""artist_type"":""Illustrator"",""roles"":[""animator"",""illustrator""],""is_support"":false,""vocadb_artist_id"":72867}]}"
240011,感情パラサイト,香ばしい,"[""初音ミク"",""GUMI""]",,2023-03-04T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=ZiNkauCK9cg,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":690010,""vocadb_url"":""https://vocadb.net/S/690010"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":3,""youtube_video_id"":""ZiNkauCK9cg"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""香ばしい"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""ZiNkauCK9cg"",""views"":421,""author"":""香ばしい"",""url"":""https://youtu.be/ZiNkauCK9cg""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""香ばしい""],""voice_synth_vocalists"":[""初音ミク"",""GUMI""],""voice_synth_types"":{""初音ミク"":""vocaloid"",""GUMI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""香ばしい"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":97492},{""name"":""那須野 銀子"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":101671},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""放電"",""artist_type"":""Instrumentalist"",""roles"":[""mixer""],""is_support"":false,""vocadb_artist_id"":147523}]}"
240012,ダイヤモンド,Piellius,"[""OИE""]",,2023-03-12T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=X2ZjQnwHxnI,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":500456,""vocadb_url"":""https://vocadb.net/S/500456"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":2,""youtube_video_id"":""X2ZjQnwHxnI"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Piellius"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""X2ZjQnwHxnI"",""views"":421,""author"":""Piellius"",""url"":""https://youtu.be/X2ZjQnwHxnI""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Piellius""],""voice_synth_vocalists"":[""OИE""],""voice_synth_types"":{""OИE"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""Piellius"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":120027},{""name"":""OИE"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":31062}]}"
240013,人間観察24時,プラズマ,"[""鏡音リン""]",,2019-12-04T00:00:00Z,2019,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=34RR-XZulFA,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":263225,""vocadb_url"":""https://vocadb.net/S/263225"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""34RR-XZulFA"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ぷらす"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""34RR-XZulFA"",""views"":421,""author"":""ぷらす"",""url"":""https://youtu.be/34RR-XZulFA""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""プラズマ""],""voice_synth_vocalists"":[""鏡音リン""],""voice_synth_types"":{""鏡音リン"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""鏡音リン"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":14},{""name"":""プラズマ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":48568}]}"
240014,イブニングショット,RUHIA,"[""初音ミク""]",,2021-04-19T00:00:00Z,2021,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=e4W6o7kKXBY,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":330143,""vocadb_url"":""https://vocadb.net/S/330143"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""e4W6o7kKXBY"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""RUHIA WASABI"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""e4W6o7kKXBY"",""views"":421,""author"":""RUHIA WASABI"",""url"":""https://youtu.be/e4W6o7kKXBY""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""RUHIA""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""RUHIA"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":4913},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""wama"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":64816}]}"
240015,アスタラビスタ,あまうろ,"[""裏命""]",,2025-01-04T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=_eqqusRtBsQ,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":725598,""vocadb_url"":""https://vocadb.net/S/725598"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":4,""youtube_video_id"":""_eqqusRtBsQ"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""あまうろ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""_eqqusRtBsQ"",""views"":421,""author"":""あまうろ"",""url"":""https://youtu.be/_eqqusRtBsQ""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""あまうろ""],""voice_synth_vocalists"":[""裏命""],""voice_synth_types"":{""裏命"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""あまうろ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":94707},{""name"":""裏命"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":105295},{""name"":""mao__"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
240016,Mansion by the Sea,Meg Moore,"[""Oliver""]",,2019-06-18T00:00:00Z,2019,[],"[""und""]",,,,,,,youtube_views,421.0,views,,,421,,,,,https://www.youtube.com/watch?v=LKN162YxA_s,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":250985,""vocadb_url"":""https://vocadb.net/S/250985"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""LKN162YxA_s"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Meg Moore"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":421,""official_youtube_pvs"":[{""video_id"":""LKN162YxA_s"",""views"":421,""author"":""Meg Moore"",""url"":""https://youtu.be/LKN162YxA_s""}],""highest_individual_official_pv_views"":421,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Meg Moore""],""voice_synth_vocalists"":[""Oliver""],""voice_synth_types"":{""Oliver"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Meg Moore"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":75105},{""name"":""Oliver"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":383}]}"
