rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
320001,アノ世イクヨ,毒まんじゅー,"[""フリモメン"",""重音テトSV""]",,2025-02-21T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=VqGQXHvz0m8,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":965427,""vocadb_url"":""https://vocadb.net/S/965427"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""VqGQXHvz0m8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""毒まんじゅー"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""VqGQXHvz0m8"",""views"":68,""author"":""毒まんじゅー"",""url"":""https://youtu.be/VqGQXHvz0m8""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""毒まんじゅー""],""voice_synth_vocalists"":[""フリモメン"",""重音テトSV""],""voice_synth_types"":{""フリモメン"":""synthesizerv"",""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""フリモメン"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":131564},{""name"":""毒まんじゅー"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":127332},{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397}]}"
320002,black time,フライゴンP,"[""巡音ルカ""]",,2016-01-30T00:00:00Z,2016,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=LbH2KUNh2lU,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":391255,""vocadb_url"":""https://vocadb.net/S/391255"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""LbH2KUNh2lU"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""暁のそよ風"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""LbH2KUNh2lU"",""views"":68,""author"":""暁のそよ風"",""url"":""https://youtu.be/LbH2KUNh2lU""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""フライゴンP""],""voice_synth_vocalists"":[""巡音ルカ""],""voice_synth_types"":{""巡音ルカ"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""巡音ルカ"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":2},{""name"":""フライゴンP"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":34408},{""name"":""zeLo"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":166075}]}"
320003,Time-lapse,DIORAMA,"[""Synthesizer V AI Megpoid"",""重音テトSV""]",,2024-12-20T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=kC69yXvkqZw,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":776859,""vocadb_url"":""https://vocadb.net/S/776859"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""kC69yXvkqZw"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""DIORAMA - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""kC69yXvkqZw"",""views"":68,""author"":""DIORAMA - Topic"",""url"":""https://youtu.be/kC69yXvkqZw""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""DIORAMA""],""voice_synth_vocalists"":[""Synthesizer V AI Megpoid"",""重音テトSV""],""voice_synth_types"":{""Synthesizer V AI Megpoid"":""synthesizerv"",""重音テトSV"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""Synthesizer V AI Megpoid"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":128632},{""name"":""DIORAMA"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":126072},{""name"":""重音テトSV"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":118397}]}"
320004,マタタビ中毒猫,isaisaki0103,"[""Rana""]",,2017-09-09T00:00:00Z,2017,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=bWqUXz9yXeU,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":670558,""vocadb_url"":""https://vocadb.net/S/670558"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""bWqUXz9yXeU"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""isaki13isaki"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""bWqUXz9yXeU"",""views"":68,""author"":""isaki13isaki"",""url"":""https://youtu.be/bWqUXz9yXeU""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""isaisaki0103""],""voice_synth_vocalists"":[""Rana""],""voice_synth_types"":{""Rana"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""isaisaki0103"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99115},{""name"":""Rana"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":23600}]}"
320005,朝が大体虚ろ,ひぐれと,"[""音街ウナ (Unknown)""]",,2025-08-10T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=DEDShQ0hKN0,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":885954,""vocadb_url"":""https://vocadb.net/S/885954"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""DEDShQ0hKN0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ひぐれと"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""DEDShQ0hKN0"",""views"":68,""author"":""ひぐれと"",""url"":""https://youtu.be/DEDShQ0hKN0""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ひぐれと""],""voice_synth_vocalists"":[""音街ウナ (Unknown)""],""voice_synth_types"":{""音街ウナ (Unknown)"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ひぐれと"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":162932},{""name"":""音街ウナ (Unknown)"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":49701}]}"
320006,あの日、此処で見た星空をまた君と,りんりーぬ,"[""花隈千冬""]",,2024-01-19T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=WXAcjTtJ0us,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":576802,""vocadb_url"":""https://vocadb.net/S/576802"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""WXAcjTtJ0us"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""りんりーぬ  碧衣 凛"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""WXAcjTtJ0us"",""views"":68,""author"":""りんりーぬ  碧衣 凛"",""url"":""https://youtu.be/WXAcjTtJ0us""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""りんりーぬ""],""voice_synth_vocalists"":[""花隈千冬""],""voice_synth_types"":{""花隈千冬"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""りんりーぬ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":85477},{""name"":""花隈千冬"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":103592}]}"
320007,貴方の消えた雷雨から,ヒトデ,"[""初音ミク""]",,2024-02-23T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=YC5XCIMG9QI,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":768391,""vocadb_url"":""https://vocadb.net/S/768391"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""YC5XCIMG9QI"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ヒトデ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""YC5XCIMG9QI"",""views"":68,""author"":""ヒトデ"",""url"":""https://youtu.be/YC5XCIMG9QI""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ヒトデ""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""ヒトデ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":91016}]}"
320008,逃げたよ,bakka*,"[""v flower""]",,2021-08-24T00:00:00Z,2021,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=l2X5Is2d_Kk,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":408644,""vocadb_url"":""https://vocadb.net/S/408644"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""l2X5Is2d_Kk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""bakka*"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""l2X5Is2d_Kk"",""views"":68,""author"":""bakka*"",""url"":""https://youtu.be/l2X5Is2d_Kk""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""bakka*""],""voice_synth_vocalists"":[""v flower""],""voice_synth_types"":{""v flower"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""v flower"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":21165},{""name"":""bakka*"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":87456}]}"
320009,PM5:00,hana20,"[""初音ミク""]",,2018-11-07T00:00:00Z,2018,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=otaDdWFPG5o,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":261680,""vocadb_url"":""https://vocadb.net/S/261680"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""otaDdWFPG5o"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""hana20"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""otaDdWFPG5o"",""views"":68,""author"":""hana20"",""url"":""https://youtu.be/otaDdWFPG5o""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""hana20""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""hana20"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":67389}]}"
320010,ハッピーハッピーナイトメア,メジャー☆,"[""初音ミク""]",,2020-11-02T00:00:00Z,2020,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=Kzn5yP8sn8s,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":508670,""vocadb_url"":""https://vocadb.net/S/508670"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""Kzn5yP8sn8s"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ちゃんねるメジャー"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""Kzn5yP8sn8s"",""views"":68,""author"":""ちゃんねるメジャー"",""url"":""https://youtu.be/Kzn5yP8sn8s""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""メジャー☆""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""メジャー☆"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":81165},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
320011,Your Worst Nightmare,GBurnP,"[""Eleanor Forte AI""]",,2023-01-15T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=3NyiH_iM37U,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":628720,""vocadb_url"":""https://vocadb.net/S/628720"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""3NyiH_iM37U"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""GBurnP"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""3NyiH_iM37U"",""views"":68,""author"":""GBurnP"",""url"":""https://youtu.be/3NyiH_iM37U""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""GBurnP""],""voice_synth_vocalists"":[""Eleanor Forte AI""],""voice_synth_types"":{""Eleanor Forte AI"":""synthesizerv""},""all_vocadb_artist_credits"":[{""name"":""GBurnP"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":122324},{""name"":""Eleanor Forte AI"",""artist_type"":""SynthesizerV"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":92247}]}"
320012,痛ミノ声～DEAD END.,ユウ,"[""GUMI""]",,2018-02-17T00:00:00Z,2018,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=iv2dCbLmmh8,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":220382,""vocadb_url"":""https://vocadb.net/S/220382"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""iv2dCbLmmh8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""壬鴨ユウ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""iv2dCbLmmh8"",""views"":68,""author"":""壬鴨ユウ"",""url"":""https://youtu.be/iv2dCbLmmh8""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ユウ""],""voice_synth_vocalists"":[""GUMI""],""voice_synth_types"":{""GUMI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""ユウ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":63874}]}"
320013,故に僕は甦る,arcane.,"[""No.7""]",,2022-10-26T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=vXh4tG2DF-0,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":551638,""vocadb_url"":""https://vocadb.net/S/551638"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""vXh4tG2DF-0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""arcane."",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""vXh4tG2DF-0"",""views"":68,""author"":""arcane."",""url"":""https://youtu.be/vXh4tG2DF-0""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""arcane.""],""voice_synth_vocalists"":[""No.7""],""voice_synth_types"":{""No.7"":""voicevox""},""all_vocadb_artist_credits"":[{""name"":""arcane."",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":110854},{""name"":""No.7"",""artist_type"":""NEUTRINO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":92309},{""name"":""No.7"",""artist_type"":""VOICEVOX"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":109967}]}"
320014,Water Strider,ワイエヌ,"[""IA""]",,2022-11-03T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=uSmiIUQ_Ky4,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":459876,""vocadb_url"":""https://vocadb.net/S/459876"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""uSmiIUQ_Ky4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ワイエヌエンタテインメンツ"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""uSmiIUQ_Ky4"",""views"":68,""author"":""ワイエヌエンタテインメンツ"",""url"":""https://youtu.be/uSmiIUQ_Ky4""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ワイエヌ""],""voice_synth_vocalists"":[""IA""],""voice_synth_types"":{""IA"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""ワイエヌ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":41881},{""name"":""IA"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":504}]}"
320015,中和滴定,導天使,"[""知声""]",,2023-07-10T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=Qgmxv60a4Xk,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":591368,""vocadb_url"":""https://vocadb.net/S/591368"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""Qgmxv60a4Xk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""導天使【ボカロP】"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""Qgmxv60a4Xk"",""views"":68,""author"":""導天使【ボカロP】"",""url"":""https://youtu.be/Qgmxv60a4Xk""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""導天使""],""voice_synth_vocalists"":[""知声""],""voice_synth_types"":{""知声"":""voisona""},""all_vocadb_artist_credits"":[{""name"":""導天使"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":104427},{""name"":""知声"",""artist_type"":""VoiSona"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99757},{""name"":""あるぱん"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":134173}]}"
320016,空想飛行,伊神海月,"[""可不""]",,2025-02-21T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=0ce2i2OwW0w,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":842158,""vocadb_url"":""https://vocadb.net/S/842158"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""0ce2i2OwW0w"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""伊神 海月"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""0ce2i2OwW0w"",""views"":68,""author"":""伊神 海月"",""url"":""https://youtu.be/0ce2i2OwW0w""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""伊神海月""],""voice_synth_vocalists"":[""可不""],""voice_synth_types"":{""可不"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""伊神海月"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":124197},{""name"":""可不"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":83928},{""name"":""おて"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":140622}]}"
320017,夢,ラメーシャ ミュージック,"[""GUMI""]",,2015-07-15T00:00:00Z,2015,[],"[""und""]",,,,,,,youtube_views,68.0,views,,,68,,,,,https://www.youtube.com/watch?v=pKdGyk5P53E,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":532608,""vocadb_url"":""https://vocadb.net/S/532608"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""pKdGyk5P53E"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ラメーシャ ミュージック"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":68,""official_youtube_pvs"":[{""video_id"":""pKdGyk5P53E"",""views"":68,""author"":""ラメーシャ ミュージック"",""url"":""https://youtu.be/pKdGyk5P53E""}],""highest_individual_official_pv_views"":68,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ラメーシャ ミュージック""],""voice_synth_vocalists"":[""GUMI""],""voice_synth_types"":{""GUMI"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""ラメーシャ ミュージック"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":125477}]}"
