rank,title,main_artist,featured_artists,album,release_date,release_year,genres,languages,composer,anime_title,anime_popularity,screen_work,vtuber,is_original,metric_name,metric_value,metric_unit,listen_count,listen_source,view_count,overall_popularity_score,spotify_track_id,musicbrainz_recording_mbid,isrc,source_url,retrieved_at,source_notes,extra
340001,中心的な異常,ダエドシュー☆,"[""GUMI"",""巡音ルカ""]",,2026-07-30T00:00:00Z,2026,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=3lk3MqATH3w,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":1011091,""vocadb_url"":""https://vocadb.net/S/1011091"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""3lk3MqATH3w"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""ダエドシュー☆"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""3lk3MqATH3w"",""views"":23,""author"":""ダエドシュー☆"",""url"":""https://youtu.be/3lk3MqATH3w""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""ダエドシュー☆""],""voice_synth_vocalists"":[""GUMI"",""巡音ルカ""],""voice_synth_types"":{""GUMI"":""vocaloid"",""巡音ルカ"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""GUMI"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":3},{""name"":""巡音ルカ"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":2},{""name"":""ダエドシュー☆"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":193581}]}"
340002,The Chainsaw High,A. Musha with The Singing Robots,"[""IA English (CeVIO AI)""]",,2022-11-27T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=E20Hwxhn97Q,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":456415,""vocadb_url"":""https://vocadb.net/S/456415"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""E20Hwxhn97Q"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""A. Musha with The Singing Robots"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""E20Hwxhn97Q"",""views"":23,""author"":""A. Musha with The Singing Robots"",""url"":""https://youtu.be/E20Hwxhn97Q""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""A. Musha with The Singing Robots""],""voice_synth_vocalists"":[""IA English (CeVIO AI)""],""voice_synth_types"":{""IA English (CeVIO AI)"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""A. Musha with The Singing Robots"",""artist_type"":""Producer"",""roles"":[""composer"",""vocalist""],""is_support"":false,""vocadb_artist_id"":94864},{""name"":""riria009"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":2138},{""name"":""IA English (CeVIO AI)"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":95863}],""alternate_metrics"":[{""metric_name"":""youtube_views"",""metric_value"":20.0,""metric_unit"":""views"",""listen_count"":null,""view_count"":20,""source_url"":""https://www.youtube.com/watch?v=E20Hwxhn97Q"",""retrieved_at"":""2026-07-27""}],""merged_sources"":[""https://www.youtube.com/watch?v=E20Hwxhn97Q""]}"
340003,未来の感情,1002p,"[""初音ミク""]",,2020-03-12T00:00:00Z,2020,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=aGha18fh7HE,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":391447,""vocadb_url"":""https://vocadb.net/S/391447"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""aGha18fh7HE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""1002p"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""aGha18fh7HE"",""views"":23,""author"":""1002p"",""url"":""https://youtu.be/aGha18fh7HE""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""1002p""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""1002p"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":73550},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""執行人OZAWA"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
340004,孵化始,肴人,"[""v flower""]",,2022-01-06T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=DrYzja-A__Y,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":380049,""vocadb_url"":""https://vocadb.net/S/380049"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""DrYzja-A__Y"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""肴人-sakanabito-"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""DrYzja-A__Y"",""views"":23,""author"":""肴人-sakanabito-"",""url"":""https://youtu.be/DrYzja-A__Y""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""肴人""],""voice_synth_vocalists"":[""v flower""],""voice_synth_types"":{""v flower"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""肴人"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":95177},{""name"":""v flower"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":21165}]}"
340005,薄暮性,さいろん,"[""星界"",""保科製菓""]",,2025-02-21T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=XRTSPNE4aP8,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":766290,""vocadb_url"":""https://vocadb.net/S/766290"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""XRTSPNE4aP8"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""さいろん"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""XRTSPNE4aP8"",""views"":23,""author"":""さいろん"",""url"":""https://youtu.be/XRTSPNE4aP8""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""さいろん"",""保科製菓""],""voice_synth_vocalists"":[""星界""],""voice_synth_types"":{""星界"":""cevio""},""all_vocadb_artist_credits"":[{""name"":""星界"",""artist_type"":""CeVIO"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99953},{""name"":""さいろん"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":158067},{""name"":""保科製菓"",""artist_type"":""Producer"",""roles"":[""animator""],""is_support"":false,""vocadb_artist_id"":83771},{""name"":""Ele"",""artist_type"":null,""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":null}]}"
340006,想う果実は赤く,らいむ,"[""MEIKO""]",,2024-11-05T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=u-hlkECaIKE,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":788100,""vocadb_url"":""https://vocadb.net/S/788100"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""u-hlkECaIKE"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""らいかの企画室"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""u-hlkECaIKE"",""views"":23,""author"":""らいかの企画室"",""url"":""https://youtu.be/u-hlkECaIKE""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""らいむ""],""voice_synth_vocalists"":[""MEIKO""],""voice_synth_types"":{""MEIKO"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""MEIKO"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":176},{""name"":""らいかの企画室"",""artist_type"":""OtherGroup"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":113275},{""name"":""catacleco"",""artist_type"":""Lyricist"",""roles"":[""lyricist""],""is_support"":false,""vocadb_artist_id"":91691},{""name"":""らいむ"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":92936}]}"
340007,ムーンダストをさがして,nuts,"[""ほのか鳴""]",,2023-08-26T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=e6nRrmoQPMY,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":1004448,""vocadb_url"":""https://vocadb.net/S/1004448"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""e6nRrmoQPMY"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""nuts"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""e6nRrmoQPMY"",""views"":23,""author"":""nuts"",""url"":""https://youtu.be/e6nRrmoQPMY""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""nuts""],""voice_synth_vocalists"":[""ほのか鳴""],""voice_synth_types"":{""ほのか鳴"":""utau""},""all_vocadb_artist_credits"":[{""name"":""nuts"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":125035},{""name"":""ほのか鳴"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":810}]}"
340008,もうダメだ☆おしまいだ,Kogeta,"[""初音ミク""]",,2025-09-12T00:00:00Z,2025,[],"[""und""]",,,,,,,youtube_views,23.0,views,,,23,,,,,https://www.youtube.com/watch?v=xZZpjaHVhU0,2026-09-11,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":888113,""vocadb_url"":""https://vocadb.net/S/888113"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":0,""youtube_video_id"":""xZZpjaHVhU0"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Kogeta"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":23,""official_youtube_pvs"":[{""video_id"":""xZZpjaHVhU0"",""views"":23,""author"":""Kogeta"",""url"":""https://youtu.be/xZZpjaHVhU0""}],""highest_individual_official_pv_views"":23,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Kogeta""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""Kogeta"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":163511},{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1}]}"
340009,純情通リ刹那西入ル三丁目,えこまる,"[""鏡音リン""]",,2008-12-27T00:00:00Z,2008,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=ijMPv5jb1C4,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":17830,""vocadb_url"":""https://vocadb.net/S/17830"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":19,""youtube_video_id"":""ijMPv5jb1C4"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Ecomaru - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""ijMPv5jb1C4"",""views"":22,""author"":""Ecomaru - Topic"",""url"":""https://youtu.be/ijMPv5jb1C4""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""えこまる""],""voice_synth_vocalists"":[""鏡音リン""],""voice_synth_types"":{""鏡音リン"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""鏡音リン"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":14},{""name"":""えこまる"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1127},{""name"":""はいのことん"",""artist_type"":""Lyricist"",""roles"":[""lyricist""],""is_support"":false,""vocadb_artist_id"":2830},{""name"":""ハクト"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":61035}]}"
340010,ちゅっ,MR.POM,"[""初音ミク""]",,2011-02-27T00:00:00Z,2011,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=fZaZM2Bk8Jg,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":222171,""vocadb_url"":""https://vocadb.net/S/222171"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":10,""youtube_video_id"":""fZaZM2Bk8Jg"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Mr.Pom - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""fZaZM2Bk8Jg"",""views"":22,""author"":""Mr.Pom - Topic"",""url"":""https://youtu.be/fZaZM2Bk8Jg""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""MR.POM""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""MR.POM"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":34650}]}"
340011,Beauty Within Chaos,archiebalt,"[""v flower"",""keyesgen""]",,2026-07-05T00:00:00Z,2026,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=aJSnvC_bFeA,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":997426,""vocadb_url"":""https://vocadb.net/S/997426"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":9,""youtube_video_id"":""aJSnvC_bFeA"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Release - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""aJSnvC_bFeA"",""views"":22,""author"":""Release - Topic"",""url"":""https://youtu.be/aJSnvC_bFeA""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""archiebalt"",""keyesgen""],""voice_synth_vocalists"":[""v flower""],""voice_synth_types"":{""v flower"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""archiebalt"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":163500},{""name"":""keyesgen"",""artist_type"":""Producer"",""roles"":[""mastering""],""is_support"":false,""vocadb_artist_id"":115742},{""name"":""v flower"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":21165}]}"
340012,Nobody's like me,LexAfterMidnight,"[""楠木くさり"",""極彩色聲"",""Shade Tokoyami"",""草薙サイボト""]",,2024-06-07T00:00:00Z,2024,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=YLgpZLbNUnk,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":635604,""vocadb_url"":""https://vocadb.net/S/635604"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""YLgpZLbNUnk"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Y4JU - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""YLgpZLbNUnk"",""views"":22,""author"":""Y4JU - Topic"",""url"":""https://youtu.be/YLgpZLbNUnk""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""LexAfterMidnight""],""voice_synth_vocalists"":[""楠木くさり"",""極彩色聲"",""Shade Tokoyami"",""草薙サイボト""],""voice_synth_types"":{""楠木くさり"":""utau"",""極彩色聲"":""utau"",""Shade Tokoyami"":""utau"",""草薙サイボト"":""utau""},""all_vocadb_artist_credits"":[{""name"":""LexAfterMidnight"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":105046},{""name"":""楠木くさり"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":124841},{""name"":""極彩色聲"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":87596},{""name"":""RIKKI"",""artist_type"":null,""roles"":[""vocalist""],""is_support"":false,""vocadb_artist_id"":null},{""name"":""Shade Tokoyami"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":105683},{""name"":""草薙サイボト"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":104181}]}"
340013,It Only Gets Worse,Samuel Wright,"[""Kyou Hana""]",,2015-03-31T00:00:00Z,2015,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=kuZS4E0Ol98,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":84473,""vocadb_url"":""https://vocadb.net/S/84473"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""kuZS4E0Ol98"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""Blackbird (Samuel Wright) - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""kuZS4E0Ol98"",""views"":22,""author"":""Blackbird (Samuel Wright) - Topic"",""url"":""https://youtu.be/kuZS4E0Ol98""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""Samuel Wright""],""voice_synth_vocalists"":[""Kyou Hana""],""voice_synth_types"":{""Kyou Hana"":""utau""},""all_vocadb_artist_credits"":[{""name"":""Samuel Wright"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":18766},{""name"":""Kyou Hana"",""artist_type"":""UTAU"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":15238}]}"
340014,心の中の友,失いP,"[""東北ずん子""]",,2023-01-10T00:00:00Z,2023,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=rF8m-_K9p0o,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":447279,""vocadb_url"":""https://vocadb.net/S/447279"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""rF8m-_K9p0o"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""失いP - Topic"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""rF8m-_K9p0o"",""views"":22,""author"":""失いP - Topic"",""url"":""https://youtu.be/rF8m-_K9p0o""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""失いP""],""voice_synth_vocalists"":[""東北ずん子""],""voice_synth_types"":{""東北ずん子"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""失いP"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":77713},{""name"":""東北ずん子"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":16933}]}"
340015,キャンセル,fuzzimari,"[""初音ミク""]",,2013-04-25T00:00:00Z,2013,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=LRvKQWc-vuc,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":240352,""vocadb_url"":""https://vocadb.net/S/240352"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":5,""youtube_video_id"":""LRvKQWc-vuc"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""fuzzimari"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""LRvKQWc-vuc"",""views"":22,""author"":""fuzzimari"",""url"":""https://youtu.be/LRvKQWc-vuc""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""fuzzimari""],""voice_synth_vocalists"":[""初音ミク""],""voice_synth_types"":{""初音ミク"":""vocaloid""},""all_vocadb_artist_credits"":[{""name"":""初音ミク"",""artist_type"":""Vocaloid"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":1},{""name"":""fuzzimari"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":25589},{""name"":""119"",""artist_type"":""Illustrator"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":11706},{""name"":""ProjectDIVAチャンネル"",""artist_type"":""OtherGroup"",""roles"":[""publisher""],""is_support"":false,""vocadb_artist_id"":95120}]}"
340016,きっと生えてる,モッチー,"[""知声"",""PolyphonicBranch""]",,2022-10-22T00:00:00Z,2022,[],"[""und""]",,,,,,,youtube_views,22.0,views,,,22,,,,,https://www.youtube.com/watch?v=UGtLbpyT0dU,2026-07-27,VocaDB SongType=Original and PVType=Original identify the original voice-synth song and authorized upload. The metric is the official API view count of its most-viewed enabled Original YouTube PV; PV counts are retained separately and are never summed.,"{""vocadb_id"":721146,""vocadb_url"":""https://vocadb.net/S/721146"",""vocadb_song_type"":""Original"",""vocadb_status"":""Finished"",""vocadb_rating_score"":4,""youtube_video_id"":""UGtLbpyT0dU"",""youtube_pv_type"":""Original"",""youtube_pv_service"":""Youtube"",""youtube_pv_author"":""けーあっと"",""official_youtube_pv_count"":1,""official_youtube_resolved_pv_count"":1,""official_youtube_total_views"":22,""official_youtube_pvs"":[{""video_id"":""UGtLbpyT0dU"",""views"":22,""author"":""けーあっと"",""url"":""https://youtu.be/UGtLbpyT0dU""}],""highest_individual_official_pv_views"":22,""qualification_threshold_views"":null,""qualification_method"":""official_original_youtube_pv"",""selection"":""highest individual official Original YouTube PV view count"",""producer_artists"":[""モッチー"",""PolyphonicBranch""],""voice_synth_vocalists"":[""知声""],""voice_synth_types"":{""知声"":""voisona""},""all_vocadb_artist_credits"":[{""name"":""モッチー"",""artist_type"":""Producer"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":39633},{""name"":""知声"",""artist_type"":""VoiSona"",""roles"":[""default""],""is_support"":false,""vocadb_artist_id"":99757},{""name"":""PolyphonicBranch"",""artist_type"":""Producer"",""roles"":[""illustrator""],""is_support"":false,""vocadb_artist_id"":311}]}"
